iter	Passed	Remaining
0	6	68410
1	11	55635
2	13	46214
3	16	41577
4	23	46644
5	27	45621
6	29	42370
7	32	40650
8	36	40555
9	41	41579
10	44	40159
11	45	38134
12	48	37037
13	51	36629
14	54	36380
15	57	35861
16	60	35423
17	62	34797
18	67	35500
19	70	34997
20	72	34411
21	74	33694
22	76	33160
23	77	32367
24	80	32077
25	81	31376
26	85	31452
27	87	31281
28	90	30968
29	93	30966
30	95	30832
31	98	30644
32	100	30283
33	103	30361
34	105	30156
35	108	29996
36	110	29788
37	114	29975
38	117	29910
39	118	29544
40	120	29387
41	124	29467
42	127	29518
43	130	29585
44	133	29605
45	136	29485
46	138	29311
47	140	29232
48	143	29112
49	146	29128
50	148	28980
51	150	28855
52	152	28701
53	155	28711
54	158	28629
55	160	28508
56	161	28220
57	164	28126
58	166	28084
59	168	27974
60	171	27887
61	173	27786
62	175	27660
63	178	27744
64	182	27948
65	185	27942
66	188	27966
67	190	27877
68	193	27896
69	196	27919
70	197	27670
71	200	27578
72	202	27508
73	204	27416
74	206	27385
75	209	27348
76	212	27331
77	214	27287
78	217	27271
79	219	27220
80	221	27163
81	223	27090
82	226	27037
83	230	27157
84	233	27190
85	235	27165
86	237	27091
87	239	27020
88	243	27086
89	248	27330
90	250	27303
91	252	27180
92	254	27151
93	255	26975
94	257	26808
95	260	26864
96	262	26814
97	264	26761
98	267	26712
99	269	26718
100	273	26809
101	279	27103
102	281	27060
103	283	27010
104	286	26979
105	288	26941
106	291	26914
107	293	26863
108	295	26849
109	298	26816
110	300	26782
111	303	26762
112	306	26814
113	310	26884
114	312	26839
115	313	26708
116	315	26653
117	317	26612
118	318	26484
119	321	26460
120	323	26394
121	326	26421
122	328	26402
123	330	26312
124	333	26340
125	334	26230
126	337	26273
127	341	26313
128	343	26248
129	345	26197
130	347	26158
131	349	26115
132	351	26073
133	353	26062
134	356	26075
135	359	26042
136	360	25962
137	362	25936
138	365	25917
139	367	25889
140	369	25866
141	373	25902
142	375	25881
143	377	25845
144	379	25811
145	381	25763
146	383	25730
147	387	25781
148	393	25985
149	395	25964
150	397	25949
151	400	25940
152	404	26058
153	407	26029
154	409	26028
155	412	26006
156	414	25971
157	416	25939
158	420	26051
159	423	26021
160	425	26012
161	428	25997
162	430	25951
163	432	25919
164	435	25957
165	440	26106
166	442	26081
167	444	26041
168	447	26056
169	451	26078
170	453	26093
171	456	26099
172	459	26088
173	461	26062
174	464	26050
175	467	26086
176	470	26093
177	473	26101
178	475	26073
179	477	26068
180	482	26159
181	485	26164
182	487	26163
183	490	26141
184	492	26120
185	494	26096
186	497	26104
187	499	26089
188	502	26062
189	504	26034
190	506	26022
191	508	25998
192	511	26014
193	514	26027
194	518	26055
195	520	26046
196	522	26017
197	525	25992
198	527	25965
199	529	25956
200	532	25975
201	536	26034
202	540	26066
203	548	26328
204	551	26349
205	553	26331
206	556	26314
207	558	26301
208	560	26278
209	563	26277
210	566	26283
211	568	26263
212	571	26242
213	573	26238
214	576	26217
215	580	26290
216	583	26295
217	586	26296
218	588	26281
219	590	26260
220	592	26234
221	597	26305
222	601	26386
223	603	26352
224	606	26351
225	608	26328
226	612	26387
227	616	26417
228	619	26434
229	621	26413
230	624	26392
231	627	26423
232	632	26524
233	635	26522
234	637	26510
235	640	26492
236	643	26525
237	647	26570
238	650	26565
239	652	26545
240	655	26525
241	657	26503
242	662	26619
243	667	26684
244	669	26672
245	672	26656
246	676	26692
247	680	26774
248	683	26766
249	685	26751
250	688	26736
251	694	26849
252	697	26871
253	700	26868
254	702	26848
255	704	26829
256	709	26881
257	713	26953
258	716	26930
259	718	26927
260	721	26931
261	727	27056
262	730	27044
263	733	27033
264	735	27015
265	737	26998
266	743	27098
267	746	27098
268	748	27085
269	752	27123
270	756	27156
271	760	27196
272	763	27210
273	766	27224
274	769	27204
275	774	27302
276	778	27313
277	781	27324
278	783	27313
279	786	27311
280	791	27373
281	794	27362
282	796	27352
283	799	27364
284	802	27341
285	805	27349
286	808	27359
287	811	27351
288	813	27346
289	816	27345
290	820	27377
291	824	27410
292	826	27394
293	829	27371
294	833	27415
295	837	27440
296	841	27488
297	843	27475
298	846	27453
299	848	27439
300	853	27499
301	856	27520
302	860	27542
303	863	27548
304	867	27562
305	870	27566
306	873	27581
307	876	27571
308	878	27556
309	881	27540
310	883	27527
311	887	27546
312	892	27609
313	894	27603
314	897	27582
315	901	27629
316	904	27640
317	907	27628
318	909	27611
319	912	27606
320	914	27586
321	917	27575
322	920	27574
323	923	27586
324	926	27569
325	928	27548
326	930	27531
327	933	27531
328	936	27534
329	939	27525
330	941	27510
331	944	27494
332	946	27481
333	951	27542
334	955	27556
335	957	27539
336	959	27520
337	962	27501
338	966	27547
339	969	27550
340	972	27557
341	975	27553
342	978	27537
343	981	27557
344	985	27571
345	987	27559
346	989	27539
347	992	27529
348	994	27513
349	998	27528
350	1002	27552
351	1004	27541
352	1007	27541
353	1010	27521
354	1012	27519
355	1018	27580
356	1021	27584
357	1024	27583
358	1026	27579
359	1034	27704
360	1040	27771
361	1043	27795
362	1049	27863
363	1053	27886
364	1056	27884
365	1059	27897
366	1063	27920
367	1067	27937
368	1070	27951
369	1075	27982
370	1078	28003
371	1081	28001
372	1084	27996
373	1086	27973
374	1089	27957
375	1091	27935
376	1095	27952
377	1100	28017
378	1103	28005
379	1105	27993
380	1109	28016
381	1113	28037
382	1116	28036
383	1118	28019
384	1121	27999
385	1123	27981
386	1126	27985
387	1129	27989
388	1132	27970
389	1135	27968
390	1137	27951
391	1139	27938
392	1143	27952
393	1147	27983
394	1150	27981
395	1153	27975
396	1155	27959
397	1159	27971
398	1162	27968
399	1164	27952
400	1167	27940
401	1169	27922
402	1171	27901
403	1175	27919
404	1178	27925
405	1181	27923
406	1184	27908
407	1187	27919
408	1192	27961
409	1195	27959
410	1199	27973
411	1202	27980
412	1205	27992
413	1208	27990
414	1211	27972
415	1213	27958
416	1215	27941
417	1218	27924
418	1220	27907
419	1222	27889
420	1225	27881
421	1228	27877
422	1230	27863
423	1233	27850
424	1235	27833
425	1239	27853
426	1242	27853
427	1246	27882
428	1249	27868
429	1251	27857
430	1256	27891
431	1259	27901
432	1262	27888
433	1264	27875
434	1267	27864
435	1269	27852
436	1272	27840
437	1275	27848
438	1278	27834
439	1280	27818
440	1282	27800
441	1284	27782
442	1288	27788
443	1291	27790
444	1293	27780
445	1296	27764
446	1298	27751
447	1300	27736
448	1304	27741
449	1306	27734
450	1308	27713
451	1311	27699
452	1313	27685
453	1315	27670
454	1319	27683
455	1323	27705
456	1326	27690
457	1328	27678
458	1330	27664
459	1333	27650
460	1335	27643
461	1339	27654
462	1342	27643
463	1344	27630
464	1346	27616
465	1349	27603
466	1352	27608
467	1356	27633
468	1359	27629
469	1362	27630
470	1365	27627
471	1370	27660
472	1372	27650
473	1375	27641
474	1378	27646
475	1381	27640
476	1384	27634
477	1386	27615
478	1388	27600
479	1390	27582
480	1393	27571
481	1395	27558
482	1397	27545
483	1401	27551
484	1407	27606
485	1410	27615
486	1412	27600
487	1416	27614
488	1422	27660
489	1425	27661
490	1427	27652
491	1430	27641
492	1435	27687
493	1440	27725
494	1443	27710
495	1445	27694
496	1449	27721
497	1453	27731
498	1456	27728
499	1458	27712
500	1460	27697
501	1464	27716
502	1469	27749
503	1472	27745
504	1475	27738
505	1477	27723
506	1483	27773
507	1486	27782
508	1489	27768
509	1491	27751
510	1493	27742
511	1500	27813
512	1503	27811
513	1506	27800
514	1509	27792
515	1512	27804
516	1516	27825
517	1519	27818
518	1522	27805
519	1524	27791
520	1526	27781
521	1532	27832
522	1536	27835
523	1538	27828
524	1541	27816
525	1545	27830
526	1549	27856
527	1552	27852
528	1555	27840
529	1557	27826
530	1561	27851
531	1565	27853
532	1568	27852
533	1571	27857
534	1573	27845
535	1577	27851
536	1580	27852
537	1583	27842
538	1585	27828
539	1587	27818
540	1590	27816
541	1593	27812
542	1596	27796
543	1598	27785
544	1600	27771
545	1603	27757
546	1605	27739
547	1607	27723
548	1610	27723
549	1613	27729
550	1616	27717
551	1618	27703
552	1621	27691
553	1623	27680
554	1626	27675
555	1630	27699
556	1633	27698
557	1636	27686
558	1638	27673
559	1643	27710
560	1646	27698
561	1648	27683
562	1652	27694
563	1654	27680
564	1657	27677
565	1660	27677
566	1662	27663
567	1664	27645
568	1667	27639
569	1669	27625
570	1672	27619
571	1676	27628
572	1679	27629
573	1681	27619
574	1684	27606
575	1686	27593
576	1690	27602
577	1692	27590
578	1694	27573
579	1696	27558
580	1699	27545
581	1701	27534
582	1704	27525
583	1707	27533
584	1711	27539
585	1713	27530
586	1716	27524
587	1719	27518
588	1723	27531
589	1728	27567
590	1731	27564
591	1733	27552
592	1736	27548
593	1740	27555
594	1745	27595
595	1749	27597
596	1753	27615
597	1759	27659
598	1762	27656
599	1764	27645
600	1766	27633
601	1774	27708
602	1778	27711
603	1780	27703
604	1783	27692
605	1788	27719
606	1791	27728
607	1794	27726
608	1797	27715
609	1799	27701
610	1805	27741
611	1810	27767
612	1812	27757
613	1814	27745
614	1818	27752
615	1824	27795
616	1828	27804
617	1830	27795
618	1841	27913
619	1845	27918
620	1851	27958
621	1858	28024
622	1862	28027
623	1865	28030
624	1868	28026
625	1872	28039
626	1875	28036
627	1878	28026
628	1881	28032
629	1886	28064
630	1891	28089
631	1894	28082
632	1897	28083
633	1902	28099
634	1905	28108
635	1908	28094
636	1911	28093
637	1915	28114
638	1920	28133
639	1923	28132
640	1926	28123
641	1930	28140
642	1935	28160
643	1938	28156
644	1940	28145
645	1942	28129
646	1945	28119
647	1951	28166
648	1955	28172
649	1957	28163
650	1960	28152
651	1964	28168
652	1968	28181
653	1971	28172
654	1973	28158
655	1976	28157
656	1981	28185
657	1986	28197
658	1988	28190
659	1991	28177
660	1995	28188
661	1998	28197
662	2002	28196
663	2004	28182
664	2007	28177
665	2014	28240
666	2017	28235
667	2020	28227
668	2022	28215
669	2026	28215
670	2030	28236
671	2033	28228
672	2036	28217
673	2038	28210
674	2042	28221
675	2046	28229
676	2049	28228
677	2052	28219
678	2054	28208
679	2058	28217
680	2062	28222
681	2064	28211
682	2067	28206
683	2071	28219
684	2076	28231
685	2079	28232
686	2081	28223
687	2084	28210
688	2086	28199
689	2089	28192
690	2092	28183
691	2094	28172
692	2098	28180
693	2100	28170
694	2103	28159
695	2105	28145
696	2109	28162
697	2112	28151
698	2115	28147
699	2117	28134
700	2119	28121
701	2123	28128
702	2127	28135
703	2130	28132
704	2133	28126
705	2135	28116
706	2141	28146
707	2143	28136
708	2146	28122
709	2148	28111
710	2150	28101
711	2153	28088
712	2156	28085
713	2158	28077
714	2161	28069
715	2163	28057
716	2166	28043
717	2168	28032
718	2170	28017
719	2174	28022
720	2177	28025
721	2180	28019
722	2183	28018
723	2186	28011
724	2192	28048
725	2195	28041
726	2197	28034
727	2200	28020
728	2205	28042
729	2207	28031
730	2209	28020
731	2213	28022
732	2216	28026
733	2220	28026
734	2222	28016
735	2224	28004
736	2227	27992
737	2229	27980
738	2231	27965
739	2234	27956
740	2237	27963
741	2240	27957
742	2243	27946
743	2245	27935
744	2248	27927
745	2250	27918
746	2254	27925
